Index,EmpCode,EState,Division,CropType,Field,Area (Ha),NumberOfTree,Type
528,495506,EST,LD,T,GBMD,0.8,9302,C
529,496112,EST,LD,T,4K,2.0,27000,R
530,496213,EST,LD,T,4I,2.0,26000,R
531,496314,EST,LD,T,4M,1.0,18000,R
532,499748,EST,LD,T,9A,0.3,2961,R
533,500354,EST,LD,T,5A,0.5,5855,R
534,503889,EST,LD,T,FW3,1.5,19425,C
535,510151,EST,LD,T,C4DM,0.8,0,C
536,514595,EST,LD,T,C4GM,0.5,6200,C
537,518332,EST,LD,T,9B,6.5,50876,R
538,519241,EST,LD,T,GBMD,0.8,9302,C
539,519835,EST,LD,T,4K,2.0,27000,R
540,519746,EST,LD,T,4I,2.0,26000,R
541,519847,EST,LD,T,4M,1.0,18000,R
542,522877,EST,LD,T,9A,0.3,2961,R
543,524291,EST,LD,T,5A,0.5,5855,R
544,524897,EST,LD,T,FW3,1.5,19425,C
545,525806,EST,LD,T,C4DM,0.8,0,C
546,526109,EST,LD,T,C4GM,0.5,6200,C
547,526311,EST,LD,T,9B,6.5,50876,R
548,526412,EST,LD,T,GBMD,0.8,9302,C
549,528533,EST,LD,T,4K,2.0,27000,R
550,529846,EST,LD,T,4I,2.0,26000,R
551,530048,EST,LD,T,4M,1.0,18000,R
552,531159,EST,LD,T,9A,0.3,2961,R
553,531664,EST,LD,T,5A,0.5,5855,R
554,531967,EST,LD,T,FW3,1.5,19425,C
555,537724,EST,LD,T,C4DM,0.8,0,C
556,537825,EST,LD,T,C4GM,0.5,6200,C
557,538128,EST,LD,T,9B,6.5,50876,R
558,538633,EST,LD,T,9A,0.3,2961,R
559,538835,EST,LD,T,5A,0.5,5855,R
560,539239,EST,LD,T,FW3,1.5,19425,C
561,539340,EST,LD,T,C4DM,0.8,0,C
562,539441,EST,LD,T,C4GM,0.5,6200,C
563,539643,EST,LD,T,9B,6.5,50876,R
564,540047,EST,LD,T,GBMD,0.8,9302,C
565,547824,EST,LD,T,4K,2.0,27000,R
566,559237,EST,LD,T,4I,2.0,26000,R
567,563075,EST,LD,T,4M,1.0,18000,R
568,563277,EST,LD,T,9A,0.3,2961,R
569,563378,EST,LD,T,5A,0.5,5855,R
570,563479,EST,LD,T,FW3,1.5,19425,C
571,568327,EST,LD,T,C4DM,0.8,0,C
572,571458,EST,LD,T,C4GM,0.5,6200,C
573,577316,EST,LD,T,9B,6.5,50876,R
574,1013737,EST,LD,T,GBMD,0.8,9302,C
575,2020707,EST,LD,T,4K,2.0,27000,R
576,2020808,EST,LD,T,4I,2.0,26000,R
577,2020909,EST,LD,T,4M,1.0,18000,R
578,2021010,EST,LD,T,9A,0.3,2961,R
579,1086356,EST,LD,T,5A,0.5,5855,R
580,1086457,EST,LD,T,FW3,1.5,19425,C
581,1086861,EST,LD,T,C4DM,0.8,0,C
582,1086962,EST,LD,T,C4GM,0.5,6200,C
583,1087164,EST,LD,T,9B,6.5,50876,R
584,1087265,EST,LD,T,GBMD,0.8,9302,C
585,1087366,EST,LD,T,4K,2.0,27000,R
586,1087467,EST,LD,T,4I,2.0,26000,R
587,1087568,EST,LD,T,4M,1.0,18000,R
588,820827,EST,LD,T,9A,0.3,2961,R
589,823958,EST,LD,T,5A,0.5,5855,R
590,822746,EST,LD,T,FW3,1.5,19425,C
591,822039,EST,LD,T,C4DM,0.8,0,C
592,826382,EST,LD,T,C4GM,0.5,6200,C
593,811838,EST,LD,T,9A,0.3,2961,R
594,580245,EST,LD,T,5A,0.5,5855,R
595,580447,EST,LD,T,FW3,1.5,19425,C
596,587113,EST,LD,T,C4DM,0.8,0,C
597,587315,EST,LD,T,C4GM,0.5,6200,C
598,588123,EST,LD,T,9B,6.5,50876,R
599,580043,EST,LD,T,9A,0.3,2961,R
600,580548,EST,LD,T,5A,0.5,5855,R
601,577619,EST,LD,T,FW3,1.5,19425,C
602,580649,EST,LD,T,C4DM,0.8,0,C
603,581053,EST,LD,T,C4GM,0.5,6200,C
604,581659,EST,LD,T,9B,6.5,50876,R
605,582467,EST,LD,T,GBMD,0.8,9302,C
606,585093,EST,LD,T,4K,2.0,27000,R
607,588426,EST,LD,T,4I,2.0,26000,R
608,590547,EST,LD,T,4M,1.0,18000,R
609,577922,EST,LD,T,C4GM,0.5,6200,C
610,581558,EST,LD,T,9B,6.5,50876,R
611,582871,EST,LD,T,9A,0.3,2961,R
612,583578,EST,LD,T,5A,0.5,5855,R
613,585396,EST,LD,T,FW3,1.5,19425,C
614,586305,EST,LD,T,C4DM,0.8,0,C
615,584689,EST,LD,T,C4GM,0.5,6200,C
616,583477,EST,LD,T,9B,6.5,50876,R
617,586608,EST,LD,T,GBMD,0.8,9302,C
618,590244,EST,LD,T,4K,2.0,27000,R
619,590345,EST,LD,T,4I,2.0,26000,R
620,1083326,EST,LD,T,4M,1.0,18000,R
621,577720,EST,LD,T,9B,6.5,50876,R
622,578124,EST,LD,T,GBMD,0.8,9302,C
623,578225,EST,LD,T,4K,2.0,27000,R
624,578528,EST,LD,T,4I,2.0,26000,R
625,581255,EST,LD,T,4M,1.0,18000,R
626,808000,EST,LD,T,9A,0.3,2961,R
627,808303,EST,LD,T,9A,0.3,2961,R
628,808909,EST,LD,T,5A,0.5,5855,R
629,814363,EST,LD,T,FW3,1.5,19425,C
630,580952,EST,LD,T,C4DM,0.8,0,C
631,815171,EST,LD,T,C4GM,0.5,6200,C
632,817797,EST,LD,T,9B,6.5,50876,R
633,827291,EST,LD,T,GBMD,0.8,9302,C
634,811434,EST,LD,T,4K,2.0,27000,R
635,577821,EST,LD,T,4I,2.0,26000,R
636,579740,EST,LD,T,4M,1.0,18000,R
637,808505,EST,LD,T,9A,0.3,2961,R
638,808707,EST,LD,T,5A,0.5,5855,R
639,815272,EST,LD,T,FW3,1.5,19425,C
640,818403,EST,LD,T,C4DM,0.8,0,C
641,821938,EST,LD,T,C4GM,0.5,6200,C
642,822847,EST,LD,T,9B,6.5,50876,R
643,823453,EST,LD,T,GBMD,0.8,9302,C
644,825372,EST,LD,T,4K,2.0,27000,R
645,825473,EST,LD,T,4I,2.0,26000,R
646,827392,EST,LD,T,4M,1.0,18000,R
647,827493,EST,LD,T,9A,0.3,2961,R
648,827594,EST,LD,T,5A,0.5,5855,R
649,1035856,EST,LD,T,FW3,1.5,19425,C
650,1076761,EST,LD,T,C4DM,0.8,0,C
651,1076862,EST,LD,T,C4GM,0.5,6200,C
652,1076963,EST,LD,T,9B,6.5,50876,R
653,1077064,EST,LD,T,9A,0.3,2961,R
654,1077165,EST,LD,T,5A,0.5,5855,R
655,1077266,EST,LD,T,FW3,1.5,19425,C
656,1077367,EST,LD,T,C4DM,0.8,0,C
657,1077468,EST,LD,T,C4GM,0.5,6200,C
658,1077569,EST,LD,T,9B,6.5,50876,R
659,1077670,EST,LD,T,GBMD,0.8,9302,C
660,1077771,EST,LD,T,4K,2.0,27000,R
661,1077872,EST,LD,T,4I,2.0,26000,R
662,1077973,EST,LD,T,4M,1.0,18000,R
663,1078074,EST,LD,T,9A,0.3,2961,R
664,1078175,EST,LD,T,5A,0.5,5855,R
665,1078276,EST,LD,T,FW3,1.5,19425,C
666,1078377,EST,LD,T,C4DM,0.8,0,C
667,1078478,EST,LD,T,C4GM,0.5,6200,C
668,1078579,EST,LD,T,9B,6.5,50876,R
669,1078680,EST,LD,T,GBMD,0.8,9302,C
670,1078781,EST,LD,T,9A,0.3,2961,R
671,1078882,EST,LD,T,5A,0.5,5855,R
672,1079084,EST,LD,T,FW3,1.5,19425,C
673,1079286,EST,LD,T,C4DM,0.8,0,C
674,1083427,EST,LD,T,C4GM,0.5,6200,C
675,1084134,EST,LD,T,9B,6.5,50876,R
676,1084235,EST,LD,T,GBMD,0.8,9302,C
677,1084336,EST,LD,T,4K,2.0,27000,R
678,1084437,EST,LD,T,4I,2.0,26000,R
679,1084538,EST,LD,T,4M,1.0,18000,R
680,1084639,EST,LD,T,7,7.0,25417,R
681,1084740,EST,LD,T,4A,3.0,17631,R
682,1084841,EST,LD,T,FAC,0.8,9653,R
683,1084942,EST,LD,T,C4AV,2.0,26000,C
684,1085043,EST,LD,T,C4CV,1.5,19425,C
685,1085144,EST,LD,T,7BVP,1.0,13500,C
686,1085346,EST,LD,T,C4EV,1.0,13500,C
687,707505,EST,LD,T,C4EM,1.5,19425,C
688,709929,EST,LD,T,C4FM,0.8,12500,C
689,579033,EST,LD,T,CMDG,2.0,26000,C
690,579134,EST,LD,T,COTH,0.8,9302,C
691,116756,EST,LD,T,C4KV,2.0,27000,C
692,117968,EST,LD,T,7,7.0,25417,R
693,120190,EST,LD,T,4A,3.0,17631,R
694,121806,EST,LD,T,FAC,0.8,9653,R
695,122614,EST,LD,T,C4AV,2.0,26000,C
696,122917,EST,LD,T,C4CV,1.5,19425,C
697,123321,EST,LD,T,7BVP,1.0,13500,C
698,123523,EST,LD,T,C4EV,1.0,13500,C
699,123624,EST,LD,T,C4EM,1.5,19425,C
700,123725,EST,LD,T,C4FM,0.8,12500,C
701,123927,EST,LD,T,CMDG,2.0,26000,C
702,1040906,EST,LD,T,7,7.0,25417,R
703,1045754,EST,LD,T,4A,3.0,17631,R
704,1045855,EST,LD,T,FAC,0.8,9653,R
705,1045956,EST,LD,T,C4AV,2.0,26000,C
706,1046057,EST,LD,T,C4CV,1.5,19425,C
707,1046158,EST,LD,T,7BVP,1.0,13500,C
708,1046259,EST,LD,T,C4EV,1.0,13500,C
709,1046360,EST,LD,T,C4EM,1.5,19425,C
710,1046461,EST,LD,T,C4FM,0.8,12500,C
711,1046562,EST,LD,T,CMDG,2.0,26000,C
712,1046663,EST,LD,T,COTH,0.8,9302,C
713,1046764,EST,LD,T,7,7.0,25417,R
714,1046865,EST,LD,T,4A,3.0,17631,R
715,1047572,EST,LD,T,FAC,0.8,9653,R
716,1049390,EST,LD,T,C4AV,2.0,26000,C
717,1049491,EST,LD,T,C4CV,1.5,19425,C
718,1049592,EST,LD,T,7BVP,1.0,13500,C
719,1049794,EST,LD,T,C4EV,1.0,13500,C
720,1051208,EST,LD,T,C4EM,1.5,19425,C
721,1051511,EST,LD,T,C4FM,0.8,12500,C
722,1051814,EST,LD,T,CMDG,2.0,26000,C
723,1051915,EST,LD,T,COTH,0.8,9302,C
724,1052218,EST,LD,T,C4KV,2.0,27000,C
725,214322,EST,MD,T,GM10,1.5,19425,C
726,284719,EST,MD,T,GM11,2.0,26000,C
727,300172,EST,MD,T,GM12,3.0,26000,C
728,350672,EST,MD,T,7,7.0,25417,R
729,362792,EST,MD,T,4A,3.0,17631,R
730,387436,EST,MD,T,FAC,0.8,9653,R
731,389860,EST,MD,T,C4AV,2.0,26000,C
732,390466,EST,MD,T,C4CV,1.5,19425,C
733,390971,EST,MD,T,7BVP,1.0,13500,C
734,391476,EST,MD,T,C4EV,1.0,13500,C
735,391880,EST,MD,T,C4EM,1.5,19425,C
736,391981,EST,MD,T,C4FM,0.8,12500,C
737,392486,EST,MD,T,CMDG,2.0,26000,C
738,392587,EST,MD,T,COTH,0.8,9302,C
739,411171,EST,MD,T,C4KV,2.0,27000,C
740,411272,EST,MD,T,GM10,1.5,19425,C
741,414504,EST,MD,T,GM11,2.0,26000,C
742,416322,EST,MD,T,GM12,3.0,26000,C
743,416423,EST,MD,T,4E,0.5,6500,R
744,416625,EST,MD,T,C4,0.8,9302,C
745,416827,EST,MD,T,7,7.0,25417,R
746,417332,EST,MD,T,4A,3.0,17631,R
747,425412,EST,MD,T,FAC,0.8,9653,R
748,431371,EST,MD,T,C4AV,2.0,26000,C
749,435613,EST,MD,T,C4CV,1.5,19425,C
750,438239,EST,MD,T,7BVP,1.0,13500,C
751,439552,EST,MD,T,C4EV,1.0,13500,C
752,440865,EST,MD,T,C4EM,1.5,19425,C
753,441471,EST,MD,T,7,7.0,25417,R
754,441774,EST,MD,T,4A,3.0,17631,R
755,441875,EST,MD,T,FAC,0.8,9653,R
756,444501,EST,MD,T,C4AV,2.0,26000,C
757,449349,EST,MD,T,C4CV,1.5,19425,C
758,449551,EST,MD,T,7BVP,1.0,13500,C
759,450258,EST,MD,T,C4EV,1.0,13500,C
760,451773,EST,MD,T,C4EM,1.5,19425,C
761,452985,EST,MD,T,C4FM,0.8,12500,C
762,453894,EST,MD,T,CMDG,2.0,26000,C
763,454399,EST,MD,T,COTH,0.8,9302,C
764,457833,EST,MD,T,C4KV,2.0,27000,C
765,458742,EST,MD,T,GM10,1.5,19425,C
766,458944,EST,MD,T,GM11,2.0,26000,C
767,459045,EST,MD,T,GM12,3.0,26000,C
768,460863,EST,MD,T,4E,0.5,6500,R
769,461772,EST,MD,T,C4,0.8,9302,C
770,461974,EST,MD,T,C4FM,0.8,12500,C
771,462277,EST,MD,T,CMDG,2.0,26000,C
772,462378,EST,MD,T,COTH,0.8,9302,C
773,462984,EST,MD,T,C4KV,2.0,27000,C
774,463287,EST,MD,T,GM10,1.5,19425,C
775,463792,EST,MD,T,GM11,2.0,26000,C
776,464095,EST,MD,T,7,7.0,25417,R
777,464903,EST,MD,T,4A,3.0,17631,R
778,465509,EST,MD,T,FAC,0.8,9653,R
779,465812,EST,MD,T,C4AV,2.0,26000,C
780,466317,EST,MD,T,C4CV,1.5,19425,C
781,466822,EST,MD,T,7BVP,1.0,13500,C
782,482679,EST,MD,T,C4EV,1.0,13500,C
783,483184,EST,MD,T,C4EM,1.5,19425,C
784,486921,EST,MD,T,C4FM,0.8,12500,C
785,494193,EST,MD,T,CMDG,2.0,26000,C
786,495001,EST,MD,T,COTH,0.8,9302,C
787,496415,EST,MD,T,C4KV,2.0,27000,C
788,502576,EST,MD,T,GM10,1.5,19425,C
789,508333,EST,MD,T,GM11,2.0,26000,C
790,508737,EST,MD,T,GM12,3.0,26000,C
791,509343,EST,MD,T,4E,0.5,6500,R
792,509646,EST,MD,T,C4,0.8,9302,C
793,509747,EST,MD,T,7,7.0,25417,R
794,509848,EST,MD,T,4A,3.0,17631,R
795,512272,EST,MD,T,FAC,0.8,9653,R
796,513181,EST,MD,T,C4AV,2.0,26000,C
797,513383,EST,MD,T,C4CV,1.5,19425,C
798,513787,EST,MD,T,7BVP,1.0,13500,C
799,514090,EST,MD,T,C4EV,1.0,13500,C
800,514292,EST,MD,T,C4EM,1.5,19425,C
801,515605,EST,MD,T,7,7.0,25417,R
802,516211,EST,MD,T,4A,3.0,17631,R
803,516817,EST,MD,T,FAC,0.8,9653,R
804,517524,EST,MD,T,C4AV,2.0,26000,C
805,522372,EST,MD,T,C4CV,1.5,19425,C
806,523079,EST,MD,T,7BVP,1.0,13500,C
807,524089,EST,MD,T,C4EV,1.0,13500,C
808,526513,EST,MD,T,C4EM,1.5,19425,C
809,527220,EST,MD,T,C4FM,0.8,12500,C
810,527624,EST,MD,T,CMDG,2.0,26000,C
811,529240,EST,MD,T,COTH,0.8,9302,C
812,529442,EST,MD,T,C4KV,2.0,27000,C
813,529543,EST,MD,T,GM10,1.5,19425,C
814,532270,EST,MD,T,GM11,2.0,26000,C
815,532876,EST,MD,T,GM12,3.0,26000,C
816,532977,EST,MD,T,4E,0.5,6500,R
817,533179,EST,MD,T,C4,0.8,9302,C
818,533280,EST,MD,T,C4FM,0.8,12500,C
819,533482,EST,MD,T,CMDG,2.0,26000,C
820,533583,EST,MD,T,COTH,0.8,9302,C
821,533886,EST,MD,T,C4KV,2.0,27000,C
822,534088,EST,MD,T,GM10,1.5,19425,C
823,534290,EST,MD,T,GM11,2.0,26000,C
824,534391,EST,MD,T,GM12,3.0,26000,C
825,534694,EST,MD,T,4E,0.5,6500,R
826,534997,EST,MD,T,C4,0.8,9302,C
827,535805,EST,MD,T,C4FM,0.8,12500,C
828,536209,EST,MD,T,CMDG,2.0,26000,C
829,537017,EST,MD,T,C4EM,1.5,19425,C
830,550753,EST,MD,T,7,7.0,25417,R
831,551258,EST,MD,T,4A,3.0,17631,R
832,552066,EST,MD,T,FAC,0.8,9653,R
833,552874,EST,MD,T,C4AV,2.0,26000,C
834,555197,EST,MD,T,C4CV,1.5,19425,C
835,558833,EST,MD,T,7BVP,1.0,13500,C
836,559338,EST,MD,T,C4EV,1.0,13500,C
837,561661,EST,MD,T,C4EM,1.5,19425,C
838,561762,EST,MD,T,C4FM,0.8,12500,C
839,566408,EST,MD,T,CMDG,2.0,26000,C
840,566610,EST,MD,T,COTH,0.8,9302,C
841,567216,EST,MD,T,C4KV,2.0,27000,C
842,567519,EST,MD,T,GM10,1.5,19425,C
843,567620,EST,MD,T,GM11,2.0,26000,C
844,569034,EST,MD,T,GM12,3.0,26000,C
845,569135,EST,MD,T,4E,0.5,6500,R
846,571256,EST,MD,T,C4,0.8,9302,C
847,572165,EST,MD,T,C4FM,0.8,12500,C
848,572367,EST,MD,T,CMDG,2.0,26000,C
849,572468,EST,MD,T,COTH,0.8,9302,C
850,572670,EST,MD,T,C4KV,2.0,27000,C
851,572771,EST,MD,T,GM10,1.5,19425,C
852,572872,EST,MD,T,GM11,2.0,26000,C
853,573276,EST,MD,T,GM12,3.0,26000,C
854,573478,EST,MD,T,4E,0.5,6500,R
855,573579,EST,MD,T,C4,0.8,9302,C
856,573680,EST,MD,T,C4FM,0.8,12500,C
857,574185,EST,MD,T,GM10,1.5,19425,C
858,574387,EST,MD,T,GM11,2.0,26000,C
859,2021111,EST,MD,T,C4FM,0.8,12500,C
860,2021313,EST,MD,T,CMDG,2.0,26000,C
861,1052319,EST,MD,T,COTH,0.8,9302,C
862,1052420,EST,MD,T,C4KV,2.0,27000,C
863,1052521,EST,MD,T,GM10,1.5,19425,C
864,1052622,EST,MD,T,GM11,2.0,26000,C
865,1055652,EST,MD,T,GM12,3.0,26000,C
866,1056258,EST,MD,T,4E,0.5,6500,R
867,1056359,EST,MD,T,C4,0.8,9302,C
868,1056460,EST,MD,T,C4FM,0.8,12500,C
869,1056561,EST,MD,T,CMDG,2.0,26000,C
870,1059187,EST,MD,T,COTH,0.8,9302,C
871,1059288,EST,MD,T,C4KV,2.0,27000,C
872,1059389,EST,MD,T,GM10,1.5,19425,C
873,1059490,EST,MD,T,GM11,2.0,26000,C
874,1059692,EST,MD,T,GM12,3.0,26000,C
875,1059995,EST,MD,T,4E,0.5,6500,R
876,1060197,EST,MD,T,CMDG,2.0,26000,C
877,1060298,EST,MD,T,COTH,0.8,9302,C
878,578326,EST,MD,T,C4KV,2.0,27000,C
879,707404,EST,MD,T,GM10,1.5,19425,C
880,707606,EST,MD,T,GM11,2.0,26000,C
881,707707,EST,MD,T,GM12,3.0,26000,C
882,707808,EST,MD,T,4E,0.5,6500,R
883,708010,EST,MD,T,CMDG,2.0,26000,C
884,708111,EST,MD,T,COTH,0.8,9302,C
885,708212,EST,MD,T,C4KV,2.0,27000,C
886,708515,EST,MD,T,GM10,1.5,19425,C
887,708616,EST,MD,T,GM11,2.0,26000,C
888,708717,EST,MD,T,GM12,3.0,26000,C
889,708818,EST,MD,T,4E,0.5,6500,R
890,1047471,EST,MD,T,CMDG,2.0,26000,C
891,1047673,EST,MD,T,COTH,0.8,9302,C
892,1047774,EST,MD,T,C4KV,2.0,27000,C
893,1047875,EST,MD,T,GM10,1.5,19425,C
894,1047976,EST,MD,T,GM11,2.0,26000,C
895,1052723,EST,MD,T,GM12,3.0,26000,C
896,1052824,EST,MD,T,4E,0.5,6500,R
897,1052925,EST,MD,T,C4FM,0.8,12500,C
898,1053026,EST,MD,T,GM10,1.5,19425,C
899,1053127,EST,MD,T,GM11,2.0,26000,C
900,1055450,EST,MD,T,GM12,3.0,26000,C
901,1055551,EST,MD,T,4E,0.5,6500,R
902,1056056,EST,MD,T,C4,0.8,9302,C
903,1056157,EST,MD,T,C4FM,0.8,12500,C
904,219978,EST,MD,T,CMDG,2.0,26000,C
905,215736,EST,MD,T,COTH,0.8,9302,C
906,219675,EST,MD,T,C4KV,2.0,27000,C
907,219776,EST,MD,T,GM10,1.5,19425,C
908,820625,EST,MD,T,GM11,2.0,26000,C
909,814767,EST,MD,T,GM12,3.0,26000,C
910,82012,EST,MD,T,4E,0.5,6500,R
911,498132,EST,MD,T,C4,0.8,9302,C
912,809515,EST,MD,T,C4FM,0.8,12500,C
913,811333,EST,MD,T,CMDG,2.0,26000,C
914,814060,EST,MD,T,COTH,0.8,9302,C
915,815373,EST,MD,T,C4KV,2.0,27000,C
916,816181,EST,MD,T,GM10,1.5,19425,C
917,816989,EST,MD,T,GM11,2.0,26000,C
918,817090,EST,MD,T,GM12,3.0,26000,C
919,818908,EST,MD,T,4E,0.5,6500,R
920,819211,EST,MD,T,CMDG,2.0,26000,C
921,819413,EST,MD,T,COTH,0.8,9302,C
922,819805,EST,MD,T,C4KV,2.0,27000,C
923,819918,EST,MD,T,GM10,1.5,19425,C
924,820221,EST,MD,T,GM11,2.0,26000,C
925,820322,EST,MD,T,GM12,3.0,26000,C
926,820524,EST,MD,T,4E,0.5,6500,R
927,820726,EST,MD,T,CMDG,2.0,26000,C
928,821029,EST,MD,T,COTH,0.8,9302,C
929,821231,EST,MD,T,C4KV,2.0,27000,C
930,821332,EST,MD,T,C4FM,0.8,12500,C
931,821433,EST,MD,T,GM10,1.5,19425,C
932,821534,EST,MD,T,GM11,2.0,26000,C
933,821635,EST,MD,T,GM12,3.0,26000,C
934,821837,EST,MD,T,4E,0.5,6500,R
935,1048077,EST,MD,T,C4,0.8,9302,C
936,1048279,EST,MD,T,C4FM,0.8,12500,C
937,1048481,EST,MD,T,CMDG,2.0,26000,C
938,1048582,EST,MD,T,COTH,0.8,9302,C
939,1048683,EST,MD,T,C4KV,2.0,27000,C
940,1048784,EST,MD,T,GM10,1.5,19425,C
941,1048885,EST,MD,T,GM11,2.0,26000,C
942,1048986,EST,MD,T,GM12,3.0,26000,C
943,1049087,EST,MD,T,4E,0.5,6500,R
944,1049188,EST,MD,T,C4,0.8,9302,C
945,1050097,EST,MD,T,C4FM,0.8,12500,C
946,1050501,EST,MD,T,CMDG,2.0,26000,C
947,1050602,EST,MD,T,COTH,0.8,9302,C
948,1050804,EST,MD,T,C4KV,2.0,27000,C
949,1056763,EST,MD,T,GM10,1.5,19425,C
950,6065151,EST,MD,T,GM11,2.0,26000,C
951,6065252,EST,MD,T,GM12,3.0,26000,C
952,582669,EST,MD,T,4E,0.5,6500,R
953,586507,EST,MD,T,CMDG,2.0,26000,C
954,587517,EST,MD,T,COTH,0.8,9302,C
955,1045451,EST,MD,T,C4KV,2.0,27000,C
956,1045552,EST,MD,T,GM10,1.5,19425,C
957,1053228,EST,MD,T,GM11,2.0,26000,C
958,1053329,EST,MD,T,GM12,3.0,26000,C
959,1053531,EST,MD,T,4E,0.5,6500,R
960,1053733,EST,MD,T,CMDG,2.0,26000,C
961,1053834,EST,MD,T,COTH,0.8,9302,C
962,1053935,EST,MD,T,C4KV,2.0,27000,C
963,1054036,EST,MD,T,GM10,1.5,19425,C
964,1055349,EST,MD,T,GM11,2.0,26000,C
965,816888,EST,MD,T,GM12,3.0,26000,C
966,208565,EST,MD,T,4E,0.5,6500,R
967,211292,EST,MD,T,CMDG,2.0,26000,C
968,215029,EST,MD,T,COTH,0.8,9302,C
969,216342,EST,MD,T,C4KV,2.0,27000,C
970,217352,EST,MD,T,GM10,1.5,19425,C
971,218160,EST,MD,T,GM11,2.0,26000,C
972,220079,EST,MD,T,GM12,3.0,26000,C
973,1047168,EST,MD,T,4E,0.5,6500,R
974,1047269,EST,MD,T,C4FM,0.8,12500,C
975,1047370,EST,MD,T,GM10,1.5,19425,C
976,1049895,EST,MD,T,GM11,2.0,26000,C
977,1051309,EST,MD,T,GM12,3.0,26000,C
978,1054137,EST,MD,T,4E,0.5,6500,R
979,1054339,EST,MD,T,C4,0.8,9302,C
980,1054440,EST,MD,T,C4FM,0.8,12500,C
981,1054541,EST,MD,T,CMDG,2.0,26000,C
982,1054642,EST,MD,T,COTH,0.8,9302,C
983,1054743,EST,MD,T,C4KV,2.0,27000,C
984,1054844,EST,MD,T,GM10,1.5,19425,C
985,1054945,EST,MD,T,GM11,2.0,26000,C
986,1055046,EST,MD,T,GM12,3.0,26000,C
987,1055147,EST,MD,T,4E,0.5,6500,R
988,1055248,EST,MD,T,C4,0.8,9302,C
989,1055753,EST,MD,T,C4FM,0.8,12500,C
990,1055854,EST,MD,T,CMDG,2.0,26000,C
991,1055955,EST,MD,T,COTH,0.8,9302,C
992,1056662,EST,MD,T,C4KV,2.0,27000,C
993,710232,EST,MD,T,GM10,1.5,19425,C
994,710434,EST,MD,T,GM11,2.0,26000,C
995,709828,EST,MD,T,GM12,3.0,26000,C
996,710131,EST,MD,T,4E,0.5,6500,R
997,710333,EST,MD,T,CMDG,2.0,26000,C
998,709020,EST,MD,T,COTH,0.8,9302,C
999,709121,EST,MD,T,C4KV,2.0,27000,C
1000,710030,EST,MD,T,GM10,1.5,19425,C
1001,1083225,EST,MD,T,GM11,2.0,26000,C
1002,1088477,EST,MD,T,GM12,3.0,26000,C
1003,1088578,EST,MD,T,4E,0.5,6500,R
1004,1060500,EST,MD,T,CMDG,2.0,26000,C
1005,1060601,EST,MD,T,COTH,0.8,9302,C
1006,1060702,EST,MD,T,C4KV,2.0,27000,C
1007,1060803,EST,MD,T,GM10,1.5,19425,C
1008,1060904,EST,MD,T,GM11,2.0,26000,C
1009,1061005,EST,MD,T,GM12,3.0,26000,C
1010,1071206,EST,MD,T,4E,0.5,6500,R
1011,124129,EST,MD,T,CMDG,2.0,26000,C
1012,124230,EST,MD,T,COTH,0.8,9302,C
1013,1071408,EST,MD,T,C4KV,2.0,27000,C
1014,1071509,EST,MD,T,GM10,1.5,19425,C
1015,1071610,EST,MD,T,GM11,2.0,26000,C
1016,1074741,EST,MD,T,GM12,3.0,26000,C
1017,1074842,EST,MD,T,4E,0.5,6500,R
1018,1074943,EST,MD,T,C4FM,0.8,12500,C
1019,1075044,EST,MD,T,GM10,1.5,19425,C
1020,1071812,EST,MD,T,GM11,2.0,26000,C
1021,823554,EST,MD,T,GM12,3.0,26000,C
1022,822140,EST,MD,T,4E,0.5,6500,R
1023,823352,EST,MD,T,C4,0.8,9302,C
1024,824665,EST,MD,T,C4FM,0.8,12500,C
1025,823049,EST,MD,T,CMDG,2.0,26000,C
1026,826988,EST,MD,T,COTH,0.8,9302,C
1027,827089,EST,MD,T,C4KV,2.0,27000,C
1028,825877,EST,MD,T,GM10,1.5,19425,C
1029,825776,EST,MD,T,GM11,2.0,26000,C
1030,822645,EST,MD,T,GM12,3.0,26000,C
1031,823251,EST,MD,T,4E,0.5,6500,R
1032,823655,EST,MD,T,C4,0.8,9302,C
1033,823857,EST,MD,T,C4FM,0.8,12500,C
1034,824261,EST,MD,T,CMDG,2.0,26000,C
1035,824564,EST,MD,T,COTH,0.8,9302,C
1036,825069,EST,MD,T,C4KV,2.0,27000,C
1037,825271,EST,MD,T,GM10,1.5,19425,C
1038,825574,EST,MD,T,GM11,2.0,26000,C
1039,825675,EST,MD,T,GM12,3.0,26000,C
1040,825978,EST,MD,T,4E,0.5,6500,R
1041,826584,EST,MD,T,CMDG,2.0,26000,C
1042,826685,EST,MD,T,COTH,0.8,9302,C
1043,826786,EST,MD,T,C4KV,2.0,27000,C
1044,828099,EST,MD,T,GM10,1.5,19425,C
1045,124836,EST,MD,T,GM11,2.0,26000,C
1046,710535,EST,MD,T,GM12,3.0,26000,C
1047,710636,EST,MD,T,4E,0.5,6500,R
1048,710737,EST,MD,T,CMDG,2.0,26000,C
1049,710838,EST,MD,T,COTH,0.8,9302,C
1050,710939,EST,MD,T,C4KV,2.0,27000,C
1051,711040,EST,MD,T,GM10,1.5,19425,C
1052,711141,EST,MD,T,GM11,2.0,26000,C
1053,711242,EST,MD,T,GM12,3.0,26000,C
1054,711444,EST,MD,T,C4FM,0.8,12500,C
