Index,Estate,Division,EmpCode,Gender,DateofJoin,PAMACT,EmployeeAge
123,EST,HO,3030303,M,,A,
124,EST,HO,3030404,M,,A,
125,EST,HO,101,M,1980-01-01,T,36.0
126,EST,HO,404,M,1986-04-01,A,29.0
127,EST,HO,1616,F,1970-10-16,A,45.0
128,EST,HO,3030,M,1968-12-01,T,47.0
129,EST,HO,3131,F,1985-03-01,T,30.0
130,EST,HO,3737,F,1986-04-15,A,29.0
131,EST,HO,4242,F,1985-11-13,T,30.0
132,EST,HO,4848,M,1986-04-15,T,29.0
133,EST,HO,4949,F,1973-07-06,T,42.0
134,EST,HO,5656,F,1980-02-01,A,35.0
135,EST,HO,6464,F,1980-09-01,T,35.0
136,EST,HO,6565,M,1972-07-14,T,43.0
137,EST,HO,6868,F,1975-11-04,T,40.0
138,EST,HO,7070,F,1970-12-08,T,45.0
139,EST,HO,7474,F,1985-05-30,A,30.0
140,EST,HO,9696,F,1985-02-01,T,30.0
141,EST,HO,9999,M,1985-02-01,T,30.0
142,EST,HO,10908,M,1973-04-28,A,42.0
143,EST,HO,12322,F,1973-09-01,A,42.0
144,EST,HO,13029,F,1975-10-02,T,40.0
145,EST,HO,13534,F,1986-09-25,T,29.0
146,EST,HO,13635,M,,,
147,EST,HO,13736,M,1972-03-13,A,43.0
148,EST,HO,13837,F,1975-12-10,T,40.0
149,EST,HO,13938,M,1967-01-01,T,49.0
150,EST,HO,14241,F,1975-01-01,T,41.0
151,EST,HO,579437,F,1969-10-13,T,46.0
152,EST,HO,579538,M,1983-02-17,T,32.0
153,EST,HO,808606,F,1976-12-31,T,39.0
154,EST,HO,808808,F,1985-02-01,T,30.0
155,EST,HO,812141,F,1986-05-17,A,29.0
156,EST,HO,817898,F,1973-12-31,T,42.0
157,EST,HO,818201,M,1980-01-01,T,36.0
158,EST,HO,818100,M,1957-02-19,T,58.0
159,EST,HO,810020,F,1971-06-09,T,44.0
160,EST,HO,820928,F,1986-05-27,T,29.0
161,EST,HO,819716,F,1983-04-01,T,32.0
162,EST,HO,818605,M,1983-07-01,T,32.0
163,EST,HO,818706,F,1985-04-01,T,30.0
164,EST,HO,819009,F,1968-11-17,A,47.0
165,EST,HO,821736,F,1972-01-01,T,44.0
166,EST,HO,817393,F,1972-07-01,T,43.0
167,EST,HO,810626,F,1976-12-31,T,39.0
168,EST,HO,823756,M,1976-12-31,A,39.0
169,EST,HO,824968,F,1972-11-09,A,43.0
170,EST,HO,822241,M,1968-11-17,T,47.0
171,EST,HO,826079,F,1970-12-31,T,45.0
172,EST,HO,826281,F,1972-11-01,T,43.0
173,EST,HO,826887,M,1980-01-01,T,36.0
174,EST,HO,824362,F,1972-02-02,T,43.0
175,EST,HO,824766,M,1975-02-27,T,40.0
176,EST,HO,810828,F,1986-03-22,T,29.0
177,EST,HO,819514,M,1975-05-17,A,40.0
178,EST,HO,825170,F,1979-12-31,A,36.0
179,EST,HO,819110,F,1978-01-01,T,38.0
180,EST,HO,824160,F,1975-01-21,T,40.0
181,EST,HO,578427,F,1977-11-18,T,38.0
182,EST,HO,817999,F,1977-12-30,A,38.0
183,EST,HO,818807,F,1977-04-20,T,38.0
184,EST,HO,819817,F,1977-04-20,T,38.0
185,EST,HO,823150,F,1973-05-01,A,42.0
186,EST,HO,215534,F,1977-05-02,T,38.0
187,EST,HO,121402,M,1978-01-01,T,38.0
188,EST,HO,121301,F,1977-06-18,A,38.0
189,EST,HO,121503,F,1978-01-01,T,38.0
190,EST,HO,124432,F,1977-11-18,A,38.0
191,EST,HO,124735,F,1979-12-31,T,36.0
192,EST,HO,124634,F,1983-01-01,A,33.0
193,EST,HO,116251,M,1978-01-01,T,38.0
194,EST,HO,117867,M,1977-11-18,T,38.0
195,EST,HO,119988,F,,,
196,EST,HO,122109,F,1978-12-31,T,37.0
197,EST,HO,116453,F,1967-12-31,T,48.0
198,EST,HO,117463,M,1986-08-02,A,29.0
199,EST,HO,122008,F,1997-08-16,T,18.0
200,EST,HO,123826,F,1983-01-01,T,33.0
201,EST,HO,124533,F,1983-01-01,A,33.0
202,EST,HO,123220,F,1978-01-01,A,38.0
203,EST,HO,121200,F,1978-12-31,T,37.0
204,EST,HO,220685,M,,,
205,EST,HO,220786,F,1980-01-18,T,35.0
206,EST,HO,215433,F,1970-10-01,A,45.0
207,EST,HO,217857,F,1977-11-18,A,38.0
208,EST,HO,206747,F,1981-04-05,T,34.0
209,EST,HO,207454,F,1981-08-20,T,34.0
210,EST,HO,213918,F,1971-01-01,T,45.0
211,EST,HO,205333,F,1983-02-01,T,32.0
212,EST,HO,205535,F,1984-02-28,A,31.0
213,EST,HO,207757,F,1979-04-09,T,36.0
214,EST,HO,208363,M,1987-01-01,A,29.0
215,EST,HO,208464,M,1976-12-31,T,39.0
216,EST,HO,208868,M,1987-08-26,T,28.0
217,EST,HO,211999,M,1984-11-20,A,31.0
218,EST,HO,214625,M,1984-11-20,T,31.0
219,EST,HO,215130,M,1984-11-20,A,31.0
220,EST,HO,215332,M,1984-11-20,T,31.0
221,EST,HO,216948,M,1987-12-31,A,28.0
222,EST,HO,218261,M,1984-11-20,T,31.0
223,EST,HO,215837,F,1987-12-16,A,28.0
224,EST,HO,207555,M,1984-11-20,A,31.0
225,EST,HO,207959,F,1987-08-26,T,28.0
226,EST,HO,209878,M,1987-06-30,A,28.0
227,EST,HO,211393,F,1988-06-24,T,27.0
228,EST,HO,211898,F,1987-07-10,T,28.0
229,EST,HO,212504,F,1987-08-26,A,28.0
230,EST,HO,212605,M,1987-11-26,A,28.0
231,EST,HO,213009,F,1987-11-25,T,28.0
232,EST,HO,213716,M,1988-01-03,A,28.0
233,EST,HO,216039,M,1991-11-01,T,24.0
234,EST,HO,216746,F,1988-03-02,T,27.0
235,EST,HO,217453,F,1988-04-22,A,27.0
